##NPOINTS=212
formula  m/z  intensity
H3N1                         17.026548  212.81
H3N1                         18.023584    0.76
H3N1                         18.032825    0.06
H4N1                         18.034374  106.34
H4N1                         19.031408    0.43
H4N1                         19.040649    0.03
H4N1                         19.040651    0.01
H2C1N1                       28.018723   52.63
H1N2                         29.013973  106.03
H2C1N1                       29.015759    0.19
H2C1N1                       29.022079    0.58
H2C1N1                       29.025002    0.01
H1N2                         30.011007    0.37
H1N2                         30.011009    0.41
H2C1N1                       30.019114    0.00
H1N2                         30.020248    0.01
H2C3                         38.015648  206.79
H2C3                         39.019005    6.76
H2C3                         39.021927    0.03
H3C3                         39.023476  206.89
C1N2                         40.006149   52.47
H2C3                         40.022362    0.06
H3C3                         40.026833    6.59
H3C3                         40.029751    0.06
C1N2                         41.003181    0.38
C1N2                         41.009502    0.55
H3C2N1                       41.026550  104.18
H3C3                         41.030186    0.10
C1N2                         42.006538    0.01
H3C2N1                       42.023582    0.34
H3C2N1                       42.029903    2.24
H3C2N1                       42.032825    0.03
H4C2N1                       42.034374  989.01
H3C2N1                       43.026939    0.02
H4C2N1                       43.031410    3.98
H3C2N1                       43.033260    0.01
H4C2N1                       43.037727   20.99
H4C2N1                       43.040649    0.43
H4C2N1                       44.034763    0.16
H4C2N1                       44.041084    0.20
H4C2N1                       45.038116    0.02
H2C4                         50.015648  102.34
H2C4                         51.019005    4.38
H2C4                         51.021927    0.01
H3C4                         51.023476  409.02
H2C3N1                       52.018723  154.59
H2C4                         52.022362    0.09
H3C4                         52.026833   17.78
H3C4                         52.029751    0.12
H1C2N2                       53.013973  311.10
H2C3N1                       53.015755    0.50
H2C3N1                       53.022079    5.03
H2C3N1                       53.025002    0.02
H3C4                         53.030186    0.20
H3C4                         53.030190    0.15
H5C4                         53.039124  102.22
H1C2N2                       54.011009    2.38
H1C2N2                       54.017330    6.86
H2C3N1                       54.019112    0.04
H1C2N2                       54.020252    0.03
H2C2N2                       54.021797  103.76
H2C3N1                       54.025436    0.04
H3C4                         54.033539    0.01
H5C4                         54.042480    4.47
H5C4                         54.045403    0.06
H1C2N2                       55.014366    0.06
H2C2N2                       55.018829    0.34
H2C2N2                       55.018833    0.43
H1C2N2                       55.020683    0.02
H2C2N2                       55.025154    2.25
H2C2N2                       55.028076    0.01
H5C4                         55.045837    0.06
H5C4                         55.048759    0.00
H2C2N2                       56.015869    0.00
H2C2N2                       56.022186    0.02
H2C2N2                       56.028507    0.01
H3C5                         63.023476  606.91
H3C5                         64.026833   33.05
H3C5                         64.029755    0.18
H4C5                         64.031296  202.35
H3C5                         65.030182    0.29
H3C5                         65.030190    0.46
H4C5                         65.034653   10.90
H4C5                         65.037575    0.09
H2C3N2                       66.021797  102.64
H3C5                         66.033539    0.01
H3C5                         66.033546    0.01
H4C4N1                       66.034370  101.88
H4C5                         66.038010    0.29
H2C3N2                       67.018829    0.75
H2C3N2                       67.025154    3.34
H2C3N2                       67.028076    0.01
H4C4N1                       67.031410    0.34
H4C4N1                       67.037727    4.44
H4C4N1                       67.040649    0.04
H4C5                         67.041367    0.01
H2C3N2                       68.015862    0.00
H2C3N2                       68.022186    0.04
H2C3N2                       68.028511    0.03
H4C4N1                       68.034760    0.02
H4C4N1                       68.041084    0.09
H6C4N1                       68.050026  101.79
H4C4N1                       69.044441    0.00
H6C4N1                       69.047058    0.38
H6C4N1                       69.053375    3.36
H6C4N1                       69.053383    1.13
H6C4N1                       69.056297    0.07
H6C4N1                       70.050415    0.01
H6C4N1                       70.056732    0.07
H6C4N1                       70.059654    0.00
H6C4N1                       71.060089    0.00
H3C6                         75.023476  200.22
H3C6                         76.026833   12.97
H3C6                         76.029755    0.06
H3C6                         77.030182    0.10
H3C6                         77.030190    0.28
H5C6                         77.039124  ******
H3C6                         78.033539    0.00
H3C6                         78.033546    0.00
H4C5N1                       78.034370  100.80
H5C6                         78.042480   65.61
H5C6                         78.045403    0.64
H3C4N2                       79.029625  101.51
H4C5N1                       79.031403    0.38
H4C5N1                       79.037727    5.42
H4C5N1                       79.040649    0.04
H5C6                         79.045837    1.88
H5C6                         79.048759    0.02
H3C4N2                       80.026657    0.74
H3C4N2                       80.032982    4.41
H4C5N1                       80.034760    0.03
H3C4N2                       80.035896    0.03
H4C5N1                       80.041084    0.14
H5C6                         80.049194    0.04
H3C4N2                       81.023689    0.00
H3C4N2                       81.030014    0.03
H3C4N2                       81.036331    0.05
H3C4N2                       81.036339    0.04
H4C5N1                       81.038116    0.00
H4C5N1                       81.044441    0.00
H7C5N1                       81.057854  100.73
H3C4N2                       82.039688    0.00
H7C5N1                       82.054886    0.41
H7C5N1                       82.061203    5.44
H7C5N1                       82.064125    0.07
H7C5N1                       83.058235    0.03
H7C5N1                       83.064560    0.13
H7C5N1                       83.067482    0.00
H7C5N1                       84.067917    0.00
H6C6N1                       92.050026  398.27
H6C6N1                       93.047058    1.66
H6C6N1                       93.053383   26.18
H6C6N1                       93.056297    0.28
H4C4N3                       94.040520   50.57
H6C6N1                       94.050415    0.10
H6C6N1                       94.056732    0.42
H6C6N1                       94.056740    0.34
H6C6N1                       94.059654    0.02
H8C6N1                       94.065674   99.61
H4C4N3                       95.037552    0.37
H4C4N3                       95.037560    0.17
H4C4N3                       95.043877    2.20
H4C4N3                       95.046799    0.02
H6C6N1                       95.060089    0.02
H8C6N1                       95.062706    0.37
H8C6N1                       95.069031    6.48
H8C6N1                       95.071953    0.09
H4C4N3                       96.034592    0.00
H4C4N3                       96.040909    0.03
H4C4N3                       96.047234    0.04
H8C6N1                       96.066063    0.02
H8C6N1                       96.068985    0.00
H8C6N1                       96.072388    0.23
H8C6N1                       96.075310    0.01
H4C4N3                       97.037941    0.00
H4C4N3                       97.044266    0.00
H4C4N3                       97.050591    0.00
H8C6N1                       97.069420    0.00
H5C6N2                      105.045273   99.27
H5C6N2                      106.042305    0.73
H5C6N2                      106.048630    6.51
H5C6N2                      106.051552    0.06
H5C6N2                      107.039337    0.00
H5C6N2                      107.045662    0.05
H5C6N2                      107.048584    0.00
H5C6N2                      107.051987    0.19
H5C6N2                      107.054909    0.00
H5C6N2                      108.049019    0.00
H5C6N2                      108.055344    0.00
H7C6N3                      121.064003  593.77
H7C6N3                      122.061035    6.26
H7C6N3                      122.067352   31.94
H7C6N3                      122.067360    6.77
H7C6N3                      122.070274    0.42
H8C6N3                      122.071823   49.45
H7C6N3                      123.058067    0.03
H7C6N3                      123.064384    0.44
H7C6N3                      123.064392    0.04
H7C6N3                      123.067307    0.01
H8C6N3                      123.068855    0.54
H7C6N3                      123.070709    1.14
H7C6N3                      123.073631    0.04
