##NPOINTS=223
             formula  m/z  intensity
H3N1                                                                                     17.026548       215
H3N1                                                                                     18.023584         0
H3N1                                                                                     18.032825         0
H4N1                                                                                     18.034374       107
H3N1                                                                                     19.029861         0
H4N1                                                                                     19.031408         0
H4N1                                                                                     19.040649         0
H4N1                                                                                     19.040651         0
H2C1N1                                                                                   28.018723        53
H1N2                                                                                     29.013973       107
H2C1N1                                                                                   29.015759         0
H2C1N1                                                                                   29.022079         0
H2C1N1                                                                                   29.025002         0
H1N2                                                                                     30.011007         0
H1N2                                                                                     30.011009         0
H2C1N1                                                                                   30.019114         0
H1N2                                                                                     30.020248         0
H2C1N1                                                                                   30.022036         0
H2C3                                                                                     38.015648       209
H2C3                                                                                     39.019005         6
H2C3                                                                                     39.021927         0
H3C3                                                                                     39.023476       209
C1N2                                                                                     40.006149        53
H2C3                                                                                     40.022362         0
H2C3                                                                                     40.025284         0
H3C3                                                                                     40.026833         6
H3C3                                                                                     40.029751         0
C1N2                                                                                     41.003181         0
C1N2                                                                                     41.009502         0
H2C3                                                                                     41.025715         0
H3C2N1                                                                                   41.026550       105
H3C3                                                                                     41.030186         0
H3C3                                                                                     41.033108         0
C1N2                                                                                     42.006538         0
H3C2N1                                                                                   42.023582         0
H3C2N1                                                                                   42.029903         2
H3C2N1                                                                                   42.032825         0
H4C2N1                                                                                   42.034374      1000
H3C2N1                                                                                   43.026939         0
H4C2N1                                                                                   43.031410         3
##END=
